node_id,x,y,z
0,0.0,0.25,0.0
1,0.000461338344723947,0.2530083041093563,-0.04990728677575368
2,-0.013439679320023875,0.2052252524693956,-0.04990728677575368
3,-0.025581428324855403,0.15690716108223227,-0.045671725914969735
4,-0.04924677536726352,0.11327848404429411,-0.03963103975513052
5,-0.06878993492247293,0.06981140454300142,-0.024875393023584248
6,-0.011162037742627607,0.23821945519542803,0.04729299818725421
7,-0.04879761909848665,0.20530193681985004,0.04729299818725421
8,-0.0893751468055591,0.17610827101430307,0.04838575708829613
9,-0.12172504954235686,0.13842742816446973,0.042585940276888216
10,-0.1535339650333943,0.10302933741666057,0.027250749808755664
11,-0.18455719039878457,0.06674964811173836,0.012373127960270597
12,-0.2215189122020395,0.0373902264052748,-0.004114912505498024
13,-0.25760716208990775,0.00447215837378364,-0.014793817744561547
14,-0.2933571421295828,-0.030065128480539764,-0.02018962573827452
15,-0.32780464225706213,-0.06151136524264291,-0.03820361831263361
16,-0.36411511621893633,-0.0956467768514705,-0.03820361831263361
17,-0.003792366296459664,0.22571728765932753,0.04354271281458735
18,-0.006918403744980484,0.1758151044418525,0.04354271281458735
19,-0.005701888844521984,0.12611351423829875,0.046375491596968056
20,0.004038491236058497,0.208053017872826,0.026909873261664125
21,0.009096148104313272,0.16327734729454454,0.048579193307946494
22,0.004635483916095466,0.11347672003945919,0.048579193307946494
23,0.0013955277405690823,0.06359195575930188,0.04958566074100635
24,-0.003128682657306877,0.013797118700684202,0.04966130848695895
25,-0.0057239742594637575,-0.03532236679710993,0.0419029945716977
26,0.039357733358729885,0.24904372972742395,0.030822952033004704
27,0.08924452108230346,0.2524065277622616,0.030822952033004704
28,0.13746912669247233,0.25800763291150647,0.01886406266773452
29,0.18122745520637576,0.26846801735962844,-0.0029485264235859857
30,0.22210028568361243,0.27262460036172226,-0.03144650085205683
31,0.2718620108796989,0.26774907931170416,-0.03144650085205683
32,0.32015591911598246,0.2592978328173404,-0.04125847618615383
33,0.36934148198392397,0.2503100407990651,-0.04125847618615383
34,0.41930829193507657,0.251764368659274,-0.040161738395969204
