total_displacement,total_force
0.0,0.0
0.010256410256410256,-374522.179558365
0.020512820512820513,-423531.8021358166
0.03076923076923077,-470644.3535789796
0.041025641025641026,-517266.2362424476
0.05128205128205128,-563867.5281121486
0.06153846153846154,-610468.8199818498
0.0717948717948718,-657070.111851551
0.08205128205128205,-703671.4037212521
0.09230769230769231,-750272.6955909532
0.10256410256410256,-796873.9874606545
0.11282051282051282,-843475.2793303556
0.12307692307692308,-890076.5712000567
0.13333333333333333,-936677.8630697578
0.1435897435897436,-983279.1549394592
0.15384615384615385,-1029880.44680916
0.1641025641025641,-1076481.7386788612
0.17435897435897438,-1123083.0305485625
0.18461538461538463,-1169684.3224182636
0.19487179487179487,-1216285.6142879648
0.20512820512820512,-1262886.906157666
0.2153846153846154,-1309488.1980273672
0.22564102564102564,-1356089.4898970681
0.23589743589743592,-1402690.7817667695
0.24615384615384617,-1449292.0736364706
0.25641025641025644,-1495893.3655061717
0.26666666666666666,-1542494.6573758728
0.27692307692307694,-1589095.9492455742
0.2871794871794872,-1635697.2411152753
0.29743589743589743,-1682298.5329849762
0.3076923076923077,-1728899.8248546773
0.31794871794871793,-1775501.1167243784
0.3282051282051282,-1822102.4085940795
0.3384615384615385,-1868703.700463781
0.34871794871794876,-1915304.992333482
0.35897435897435903,-1961906.2842031834
0.36923076923076925,-2008507.5760728843
0.37948717948717947,-2055108.8679425851
0.38974358974358975,-2101710.1598122865
0.4,-2148311.451681988
