step,solver,pc,trial,runtime_ms
2,cg,gamg,3,656.232
2,cg,gamg,4,658.145
2,cg,gamg,5,660.47
2,bcgs,jacobi,1,334.381
2,bcgs,jacobi,2,321.509
2,bcgs,jacobi,3,321.244
2,bcgs,jacobi,4,318.43
2,bcgs,jacobi,5,318.253
2,bcgs,sor,1,217.458
2,bcgs,sor,2,217.036
2,bcgs,sor,3,216.608
2,bcgs,sor,4,209.395
2,bcgs,sor,5,214.15
2,bcgs,ilu,1,220.547
2,bcgs,ilu,2,199.888
2,bcgs,ilu,3,199.896
2,bcgs,ilu,4,188.49
2,bcgs,ilu,5,203.995
2,bcgs,icc,1,168.643
2,bcgs,icc,2,166.459
2,bcgs,icc,3,167.738
2,bcgs,icc,4,164.825
2,bcgs,icc,5,166.53
2,bcgs,gamg,1,792.814
2,bcgs,gamg,2,785.229
2,bcgs,gamg,3,798.015
2,bcgs,gamg,4,785.315
2,bcgs,gamg,5,768.937
2,gmres,jacobi,1,667.596
2,gmres,jacobi,2,670.33
2,gmres,jacobi,3,674.346
2,gmres,jacobi,4,668.225
2,gmres,jacobi,5,653.153
2,gmres,sor,1,321.502
2,gmres,sor,2,318.614
2,gmres,sor,3,318.648
2,gmres,sor,4,318.425
2,gmres,sor,5,328.05
2,gmres,ilu,1,370.203
2,gmres,ilu,2,340.734
2,gmres,ilu,3,353.501
2,gmres,ilu,4,358.411
2,gmres,ilu,5,363.697
2,gmres,icc,1,290.732
2,gmres,icc,2,286.986
2,gmres,icc,3,289.975
2,gmres,icc,4,287.163
2,gmres,icc,5,287.455
2,gmres,gamg,1,760.004
2,gmres,gamg,2,753.691
2,gmres,gamg,3,749.604
2,gmres,gamg,4,749.642
2,gmres,gamg,5,771.151
3,cg,jacobi,1,295.927
3,cg,jacobi,2,302.709
3,cg,jacobi,3,310.266
3,cg,jacobi,4,312.206
3,cg,jacobi,5,309.287
3,cg,sor,1,156.175
3,cg,sor,2,155.874
3,cg,sor,3,158.763
3,cg,sor,4,156.192
3,cg,sor,5,156.084
3,cg,ilu,1,175.362
3,cg,ilu,2,166.193
3,cg,ilu,3,171.898
3,cg,ilu,4,186.353
3,cg,ilu,5,173.413
3,cg,icc,1,151.255
3,cg,icc,2,151.234
3,cg,icc,3,151.205
3,cg,icc,4,151.431
3,cg,icc,5,151.532
3,cg,gamg,1,634.192
3,cg,gamg,2,633.723
3,cg,gamg,3,663.582
3,cg,gamg,4,649.704
3,cg,gamg,5,647.296
3,bcgs,jacobi,1,285.129
3,bcgs,jacobi,2,283.962
3,bcgs,jacobi,3,283.696
3,bcgs,jacobi,4,286.947
3,bcgs,jacobi,5,282.15
3,bcgs,sor,1,213.568
3,bcgs,sor,2,220.823
3,bcgs,sor,3,228.62
3,bcgs,sor,4,225.008
3,bcgs,sor,5,225.422
3,bcgs,ilu,1,250.681
3,bcgs,ilu,2,254.646
3,bcgs,ilu,3,243.117
3,bcgs,ilu,4,239.983
3,bcgs,ilu,5,231.061
3,bcgs,icc,1,190.725
3,bcgs,icc,2,190.442
3,bcgs,icc,3,190.881
3,bcgs,icc,4,191.519
3,bcgs,icc,5,187.156
3,bcgs,gamg,1,764.627
3,bcgs,gamg,2,755.896
3,bcgs,gamg,3,760.184
3,bcgs,gamg,4,756.725
3,bcgs,gamg,5,754.833
3,gmres,jacobi,1,678.099
3,gmres,jacobi,2,680.072
3,gmres,jacobi,3,672.629
3,gmres,jacobi,4,670.077
3,gmres,jacobi,5,680.889
3,gmres,sor,1,331.717
3,gmres,sor,2,328.382
3,gmres,sor,3,338.127
3,gmres,sor,4,335.89
3,gmres,sor,5,328.652
3,gmres,ilu,1,382.905
3,gmres,ilu,2,375.593
3,gmres,ilu,3,370.34
3,gmres,ilu,4,384.731
3,gmres,ilu,5,384.197
3,gmres,icc,1,297.739
3,gmres,icc,2,289.723
3,gmres,icc,3,296.101
3,gmres,icc,4,299.473
3,gmres,icc,5,295.565
3,gmres,gamg,1,783.321
3,gmres,gamg,2,795.915
3,gmres,gamg,3,775.105
3,gmres,gamg,4,773.603
3,gmres,gamg,5,779.037
4,cg,jacobi,1,300.794
4,cg,jacobi,2,318.617
4,cg,jacobi,3,335.331
4,cg,jacobi,4,333.264
4,cg,jacobi,5,342.14
4,cg,sor,1,170.609
4,cg,sor,2,167.574
4,cg,sor,3,169.493
4,cg,sor,4,166.903
4,cg,sor,5,169.782
4,cg,ilu,1,230.061
4,cg,ilu,2,210.129
4,cg,ilu,3,205.314
4,cg,ilu,4,201.319
4,cg,ilu,5,214.396
4,cg,icc,1,161.94
4,cg,icc,2,168.157
4,cg,icc,3,167.874
4,cg,icc,4,161.896
4,cg,icc,5,158.862
4,cg,gamg,1,654.674
4,cg,gamg,2,645.93
4,cg,gamg,3,647.398
4,cg,gamg,4,650.43
4,cg,gamg,5,658.885
4,bcgs,jacobi,1,320.162
4,bcgs,jacobi,2,320.054
4,bcgs,jacobi,3,322.825
4,bcgs,jacobi,4,320.259
4,bcgs,jacobi,5,319.043
4,bcgs,sor,1,219.783
4,bcgs,sor,2,219.748
4,bcgs,sor,3,217.063
4,bcgs,sor,4,216.1
4,bcgs,sor,5,217.533
4,bcgs,ilu,1,232.319
4,bcgs,ilu,2,221.098
4,bcgs,ilu,3,195.086
4,bcgs,ilu,4,209.471
4,bcgs,ilu,5,212.223
4,bcgs,icc,1,167.054
4,bcgs,icc,2,167.519
4,bcgs,icc,3,167.756
4,bcgs,icc,4,165.065
4,bcgs,icc,5,165.874
4,bcgs,gamg,1,781.273
4,bcgs,gamg,2,785.036
4,bcgs,gamg,3,790.691
4,bcgs,gamg,4,790.172
4,bcgs,gamg,5,787.425
4,gmres,jacobi,1,680.005
4,gmres,jacobi,2,682.86
4,gmres,jacobi,3,672.395
4,gmres,jacobi,4,675.83
4,gmres,jacobi,5,659.804
4,gmres,sor,1,331.259
4,gmres,sor,2,330.779
4,gmres,sor,3,333.866
4,gmres,sor,4,337.57
4,gmres,sor,5,332.128
4,gmres,ilu,1,380.189
4,gmres,ilu,2,386.682
4,gmres,ilu,3,378.783
4,gmres,ilu,4,381.929
4,gmres,ilu,5,379.616
4,gmres,icc,1,296.853
4,gmres,icc,2,312.094
4,gmres,icc,3,298.119
4,gmres,icc,4,297.427
4,gmres,icc,5,297.636
4,gmres,gamg,1,775.741
4,gmres,gamg,2,776.275
4,gmres,gamg,3,770.995
4,gmres,gamg,4,786.561
4,gmres,gamg,5,780.881
5,cg,jacobi,1,330.951
5,cg,jacobi,2,337.519
5,cg,jacobi,3,337.782
5,cg,jacobi,4,342.124
5,cg,jacobi,5,360.574
5,cg,sor,1,169.881
5,cg,sor,2,169.446
5,cg,sor,3,178.312
5,cg,sor,4,175.81
5,cg,sor,5,175.788
5,cg,ilu,1,220.996
5,cg,ilu,2,212.369
5,cg,ilu,3,229.566
5,cg,ilu,4,209.308
5,cg,ilu,5,207.824
5,cg,icc,1,160.848
5,cg,icc,2,158.993
5,cg,icc,3,163.699
5,cg,icc,4,162.27
5,cg,icc,5,161.352
5,cg,gamg,1,658.962
5,cg,gamg,2,664.85
5,cg,gamg,3,656.223
5,cg,gamg,4,657.622
5,cg,gamg,5,659.69
5,bcgs,jacobi,1,318.051
5,bcgs,jacobi,2,316.74
5,bcgs,jacobi,3,306.893
5,bcgs,jacobi,4,308.67
5,bcgs,jacobi,5,306.498
5,bcgs,sor,1,205.471
