step,solver,pc,trial,runtime_ms
2,bcgs,icc,5,155.492
2,bcgs,gamg,1,734.239
2,bcgs,gamg,2,735.491
2,bcgs,gamg,3,735.798
2,bcgs,gamg,4,737.273
2,bcgs,gamg,5,735.476
2,gmres,jacobi,1,641.711
2,gmres,jacobi,2,639.121
2,gmres,jacobi,3,639.036
2,gmres,jacobi,4,639.099
2,gmres,jacobi,5,638.995
2,gmres,sor,1,308.703
2,gmres,sor,2,308.663
2,gmres,sor,3,308.353
2,gmres,sor,4,308.567
2,gmres,sor,5,308.407
2,gmres,ilu,1,306.402
2,gmres,ilu,2,306.494
2,gmres,ilu,3,306.339
2,gmres,ilu,4,304.585
2,gmres,ilu,5,304.642
2,gmres,icc,1,279.927
2,gmres,icc,2,279.887
2,gmres,icc,3,279.738
2,gmres,icc,4,280.285
2,gmres,icc,5,279.745
2,gmres,gamg,1,724.465
2,gmres,gamg,2,723.068
2,gmres,gamg,3,727.513
2,gmres,gamg,4,725.784
2,gmres,gamg,5,730.012
step,solver,pc,trial,runtime_ms
3,cg,jacobi,1,222.941
3,cg,jacobi,2,223.191
3,cg,jacobi,3,222.751
3,cg,jacobi,4,223.133
3,cg,jacobi,5,223.252
3,cg,sor,1,126.403
3,cg,sor,2,125.841
3,cg,sor,3,125.921
3,cg,sor,4,125.831
3,cg,sor,5,125.993
3,cg,ilu,1,141.5
3,cg,ilu,2,125.374
3,cg,ilu,3,121.904
3,cg,ilu,4,120.688
3,cg,ilu,5,120.587
3,cg,icc,1,119.694
3,cg,icc,2,119.738
3,cg,icc,3,119.836
3,cg,icc,4,119.924
3,cg,icc,5,120.054
3,cg,gamg,1,589.719
3,cg,gamg,2,595.021
3,cg,gamg,3,599.934
3,cg,gamg,4,604.108
3,cg,gamg,5,609.901
3,bcgs,jacobi,1,274.485
3,bcgs,jacobi,2,273.686
3,bcgs,jacobi,3,273.597
3,bcgs,jacobi,4,273.999
3,bcgs,jacobi,5,273.859
3,bcgs,sor,1,206.251
3,bcgs,sor,2,206.071
3,bcgs,sor,3,206.223
3,bcgs,sor,4,206.414
3,bcgs,sor,5,206.402
3,bcgs,ilu,1,184.761
3,bcgs,ilu,2,169.45
3,bcgs,ilu,3,168.035
3,bcgs,ilu,4,167.191
3,bcgs,ilu,5,167.739
3,bcgs,icc,1,179.34
3,bcgs,icc,2,178.207
3,bcgs,icc,3,180.757
3,bcgs,icc,4,179.189
3,bcgs,icc,5,179.099
3,bcgs,gamg,1,711.129
3,bcgs,gamg,2,713.722
3,bcgs,gamg,3,715.128
3,bcgs,gamg,4,716.578
3,bcgs,gamg,5,717.492
3,gmres,jacobi,1,649.271
3,gmres,jacobi,2,643.584
3,gmres,jacobi,3,643.827
3,gmres,jacobi,4,643.059
3,gmres,jacobi,5,643.075
3,gmres,sor,1,310.902
3,gmres,sor,2,310.731
3,gmres,sor,3,310.607
3,gmres,sor,4,310.878
3,gmres,sor,5,310.907
3,gmres,ilu,1,309.789
3,gmres,ilu,2,308.164
3,gmres,ilu,3,307.681
3,gmres,ilu,4,306.862
3,gmres,ilu,5,306.739
3,gmres,icc,1,280.688
3,gmres,icc,2,280.637
3,gmres,icc,3,280.785
3,gmres,icc,4,280.567
3,gmres,icc,5,280.668
3,gmres,gamg,1,728.208
3,gmres,gamg,2,731.656
3,gmres,gamg,3,734.121
3,gmres,gamg,4,733.703
3,gmres,gamg,5,733.984
step,solver,pc,trial,runtime_ms
4,cg,jacobi,1,214.642
4,cg,jacobi,2,214.443
4,cg,jacobi,3,214.208
4,cg,jacobi,4,214.26
4,cg,jacobi,5,214.459
4,cg,sor,1,122.883
4,cg,sor,2,123.049
4,cg,sor,3,123.187
4,cg,sor,4,123.384
4,cg,sor,5,123.38
4,cg,ilu,1,143.144
4,cg,ilu,2,124.544
4,cg,ilu,3,120.664
4,cg,ilu,4,119.068
4,cg,ilu,5,119.284
4,cg,icc,1,118.042
4,cg,icc,2,118.202
4,cg,icc,3,118.032
4,cg,icc,4,118.146
4,cg,icc,5,118.322
4,cg,gamg,1,562.441
4,cg,gamg,2,587.396
4,cg,gamg,3,597.745
4,cg,gamg,4,598.377
4,cg,gamg,5,600.511
4,bcgs,jacobi,1,296.345
4,bcgs,jacobi,2,295.899
4,bcgs,jacobi,3,296.017
4,bcgs,jacobi,4,295.99
4,bcgs,jacobi,5,296.051
4,bcgs,sor,1,198.553
4,bcgs,sor,2,197.932
4,bcgs,sor,3,197.984
4,bcgs,sor,4,198.171
4,bcgs,sor,5,198.283
4,bcgs,ilu,1,154.722
4,bcgs,ilu,2,142.383
4,bcgs,ilu,3,141.08
4,bcgs,ilu,4,140.869
4,bcgs,ilu,5,140.817
4,bcgs,icc,1,157.58
4,bcgs,icc,2,158.422
4,bcgs,icc,3,158.816
4,bcgs,icc,4,157.53
4,bcgs,icc,5,156.473
4,bcgs,gamg,1,740.045
4,bcgs,gamg,2,740.781
4,bcgs,gamg,3,739.907
4,bcgs,gamg,4,741.202
4,bcgs,gamg,5,742.198
4,gmres,jacobi,1,645.105
4,gmres,jacobi,2,642.343
4,gmres,jacobi,3,642.538
4,gmres,jacobi,4,642.329
4,gmres,jacobi,5,642.45
4,gmres,sor,1,310.341
4,gmres,sor,2,310.146
4,gmres,sor,3,310.226
4,gmres,sor,4,310.214
4,gmres,sor,5,310.251
4,gmres,ilu,1,311.919
4,gmres,ilu,2,310.081
4,gmres,ilu,3,309.725
4,gmres,ilu,4,309.152
4,gmres,ilu,5,309.059
4,gmres,icc,1,280.715
4,gmres,icc,2,280.596
4,gmres,icc,3,280.428
4,gmres,icc,4,280.631
4,gmres,icc,5,280.803
4,gmres,gamg,1,727.292
4,gmres,gamg,2,727.092
4,gmres,gamg,3,727.35
4,gmres,gamg,4,727.962
4,gmres,gamg,5,728.523
step,solver,pc,trial,runtime_ms
5,cg,jacobi,1,215.521
5,cg,jacobi,2,215.254
5,cg,jacobi,3,215.179
5,cg,jacobi,4,215.137
5,cg,jacobi,5,215.567
5,cg,sor,1,123.857
5,cg,sor,2,123.307
5,cg,sor,3,123.57
5,cg,sor,4,123.578
5,cg,sor,5,123.64
5,cg,ilu,1,138.872
5,cg,ilu,2,123.927
5,cg,ilu,3,120.408
5,cg,ilu,4,119.1
5,cg,ilu,5,118.901
5,cg,icc,1,118.898
5,cg,icc,2,118.549
5,cg,icc,3,118.719
5,cg,icc,4,118.698
5,cg,icc,5,118.838
5,cg,gamg,1,584.72
5,cg,gamg,2,592.135
5,cg,gamg,3,597.091
5,cg,gamg,4,600.633
5,cg,gamg,5,604.114
5,bcgs,jacobi,1,290.178
5,bcgs,jacobi,2,289.499
5,bcgs,jacobi,3,289.189
5,bcgs,jacobi,4,288.833
5,bcgs,jacobi,5,289.266
5,bcgs,sor,1,190.527
5,bcgs,sor,2,190.385
5,bcgs,sor,3,190.396
5,bcgs,sor,4,190.345
5,bcgs,sor,5,190.354
5,bcgs,ilu,1,174.435
5,bcgs,ilu,2,160.328
5,bcgs,ilu,3,158.053
5,bcgs,ilu,4,158.084
5,bcgs,ilu,5,158.198
5,bcgs,icc,1,156.509
5,bcgs,icc,2,156.44
5,bcgs,icc,3,156.721
5,bcgs,icc,4,156.08
5,bcgs,icc,5,155.494
5,bcgs,gamg,1,599.388
5,bcgs,gamg,2,600.33
5,bcgs,gamg,3,601.521
5,bcgs,gamg,4,603.809
5,bcgs,gamg,5,603.892
5,gmres,jacobi,1,649.056
5,gmres,jacobi,2,643.347
5,gmres,jacobi,3,643.639
5,gmres,jacobi,4,643.539
5,gmres,jacobi,5,643.446
5,gmres,sor,1,311.576
5,gmres,sor,2,311.326
5,gmres,sor,3,311.407
5,gmres,sor,4,311.489
5,gmres,sor,5,311.278
5,gmres,ilu,1,310.959
5,gmres,ilu,2,310.704
5,gmres,ilu,3,310.798
5,gmres,ilu,4,310.016
5,gmres,ilu,5,310.901
5,gmres,icc,1,281.069
5,gmres,icc,2,280.924
5,gmres,icc,3,281.195
5,gmres,icc,4,280.996
5,gmres,icc,5,280.898
5,gmres,gamg,1,729.387
5,gmres,gamg,2,728.348
5,gmres,gamg,3,728.587
5,gmres,gamg,4,728.886
5,gmres,gamg,5,732.788
step,solver,pc,trial,runtime_ms
6,cg,jacobi,1,222.771
6,cg,jacobi,2,223.164
6,cg,jacobi,3,222.899
6,cg,jacobi,4,223.351
6,cg,jacobi,5,223.083
6,cg,sor,1,126.346
6,cg,sor,2,125.999
6,cg,sor,3,125.945
6,cg,sor,4,126.107
6,cg,sor,5,126.154
6,cg,ilu,1,141.222
6,cg,ilu,2,127.933
6,cg,ilu,3,125.717
6,cg,ilu,4,123.873
6,cg,ilu,5,123.304
6,cg,icc,1,122.063
6,cg,icc,2,121.825
6,cg,icc,3,121.818
6,cg,icc,4,121.945
6,cg,icc,5,121.92
6,cg,gamg,1,582.049
6,cg,gamg,2,590.603
6,cg,gamg,3,595.341
6,cg,gamg,4,599.175
6,cg,gamg,5,603.181
6,bcgs,jacobi,1,272.321
6,bcgs,jacobi,2,271.74
6,bcgs,jacobi,3,271.846
6,bcgs,jacobi,4,271.733
6,bcgs,jacobi,5,271.444
6,bcgs,sor,1,203.879
6,bcgs,sor,2,204.123
6,bcgs,sor,3,203.696
6,bcgs,sor,4,203.723
6,bcgs,sor,5,203.962
6,bcgs,ilu,1,184.368
6,bcgs,ilu,2,168.805
6,bcgs,ilu,3,165.811
6,bcgs,ilu,4,165.551
6,bcgs,ilu,5,165.794
6,bcgs,icc,1,177.724
6,bcgs,icc,2,179.346
6,bcgs,icc,3,179.161
6,bcgs,icc,4,178.179
6,bcgs,icc,5,178.977
6,bcgs,gamg,1,710.151
6,bcgs,gamg,2,712.442
6,bcgs,gamg,3,712.043
6,bcgs,gamg,4,711.638
6,bcgs,gamg,5,712.585
6,gmres,jacobi,1,642.68
6,gmres,jacobi,2,640.637
6,gmres,jacobi,3,640.273
6,gmres,jacobi,4,640.918
6,gmres,jacobi,5,640.666
6,gmres,sor,1,309.371
6,gmres,sor,2,309.453
6,gmres,sor,3,309.484
6,gmres,sor,4,309.39
6,gmres,sor,5,309.474
