hyphae,segments,active_tips,passive_tips,anastomosed,branches,total_length_mm,step
1688,7025,1281,5337,407,1663,351.23297875083216,110
1700,7061,1292,5361,408,1675,353.0329741906939,111
1707,7088,1294,5381,413,1682,354.3830135386546,112
1712,7103,1298,5391,414,1687,355.1330174030664,113
1719,7126,1301,5407,418,1694,356.2830172889528,114
1726,7151,1306,5425,420,1701,357.53301713925913,115
1731,7173,1305,5442,426,1706,358.6323758318401,116
1733,7186,1307,5453,426,1708,359.2823758318402,117
1736,7200,1310,5464,426,1711,359.9823758318404,118
1741,7218,1313,5477,428,1716,360.88235964363935,119
1746,7238,1317,5492,429,1721,361.8823596436396,120
1751,7252,1316,5501,435,1726,362.5823467307883,121
1753,7260,1318,5507,435,1728,362.9823467307884,122
1756,7274,1321,5518,435,1731,363.68234673078854,123
1762,7294,1324,5532,438,1737,364.6829579016766,124
1765,7306,1327,5541,438,1740,365.28295790167675,125
1768,7315,1330,5547,438,1743,365.73295790167685,126
1771,7327,1331,5556,440,1746,366.3329427799909,127
1773,7337,1333,5564,440,1748,366.832942779991,128
1775,7349,1335,5574,440,1750,367.43294277999115,129
1775,7356,1335,5581,440,1750,367.78294277999123,130
1777,7364,1337,5587,440,1752,368.1829427799913,131
1779,7375,1339,5596,440,1754,368.73294277999145,132
1782,7385,1340,5603,442,1757,369.23218499104246,133
1784,7396,1341,5612,443,1759,369.78180593140206,134
1786,7404,1343,5618,443,1761,370.18180593140215,135
1789,7412,1346,5623,443,1764,370.58180593140224,136
1789,7418,1346,5629,443,1764,370.8818059314023,137
1792,7426,1349,5634,443,1767,371.2818059314024,138
1794,7434,1351,5640,443,1769,371.68180593140244,139
1796,7443,1353,5647,443,1771,372.13180593140254,140
1799,7453,1354,5654,445,1774,372.6318037350083,141
1803,7462,1358,5659,445,1778,373.0818037350084,142
1804,7472,1358,5668,446,1779,373.58111292450053,143
1806,7478,1358,5672,448,1781,373.88109403069933,144
1806,7482,1358,5676,448,1781,374.0810940306994,145
1808,7490,1358,5682,450,1783,374.4810893348393,146
1809,7495,1359,5686,450,1784,374.73108933483934,147
1811,7500,1361,5689,450,1786,374.9810893348394,148
1811,7504,1361,5693,450,1786,375.18108933483944,149
